Antibiótico,Microrganismo,sítio,Ano,periodo,n_amostra,n_sensivel,Sensibilidade
Amicacina,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Amoxicilina/Ac. Clavulânico,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Ampicilina,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Aztreonam,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Cefadroxil,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Cefepime,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Cefotaxima,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Ceftazidima,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Ceftriaxona,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Ciprofloxacina,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Gentamicina,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Levofloxacim,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Piperacilina/Tozobactan,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Smx-Tmp,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Tobramicina,Citrobacter Freundii Complex,Urocultura,2023,2º sem. de 2023,15,11,73.0
Amicacina,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Aztreonam,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Cefepime,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Ceftazidima,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Ceftazidime/Avbactam,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Ciprofloxacina,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Gentamicina,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Imipenem,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Levofloxacim,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Meropenem,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Piperacilina/Tozobactan,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Tobramicina,Pseudomonas Aeruginosa,Secreção,2023,1º sem. de 2023,12,12,100.0
Amicacina,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Ampicilina,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Aztreonam,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Cefepime,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Cefotaxima,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Ceftazidima,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Ceftriaxona,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Ciprofloxacina,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Ertapenem,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Gentamicina,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Imipenem,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Levofloxacim,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Meropenem,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Piperacilina/Tozobactan,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Smx-Tmp,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Tobramicina,Escherichia Coli,Secreção Traqueal,2023,1º sem. de 2023,16,16,100.0
Amicacina,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Aztreonam,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Cefepime,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Ceftazidima,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Ceftazidime/Avbactam,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Ciprofloxacina,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Gentamicina,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Imipenem,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Levofloxacim,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Meropenem,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Piperacilina/Tozobactan,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Tobramicina,Pseudomonas Aeruginosa,Fragmento Não Osseo,2023,1º sem. de 2023,12,12,100.0
Amicacina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Amoxicilina/Ac. Clavulânico,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Ampicilina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Cefadroxil,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Cefazolina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Ciprofloxacina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Gentamicina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Imipenem,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Linezolida,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Teicoplanina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Vancomicina,Escherichia Coli,Urocultura,2023,1º sem. de 2023,11,9,82.0
Amicacina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Ampicilina,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Aztreonam,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Cefepime,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
Cefotaxima,Escherichia Coli,Hemocultura,2023,1º sem. de 2023,18,16,89.0
