Antigo,Novo
ACHROMOBACTER SPP 2ªA,ACHROMOBACTER SPP
ACINETOBACTER,ACINETOBACTER
"ACINETOBACTER 1ª,2ª,3ªA",ACINETOBACTER
"ACINETOBACTER 1ª,2ªA",ACINETOBACTER
ACINETOBACTER 1ªA,ACINETOBACTER
ACINETOBACTER BAUMANII,ACINETOBACTER BAUMANNII
ACINETOBACTER BAUMANII COMPLEX,ACINETOBACTER BAUMANNII COMPLEX
ACINETOBACTER BAUMANNI COMPLEX,ACINETOBACTER BAUMANNII COMPLEX
ACINETOBACTER BAUMANNII,ACINETOBACTER BAUMANNII
ACINETOBACTER BAUMANNII 1ªA,ACINETOBACTER BAUMANNII
ACINETOBACTER BAUMANNII COMPLEX,ACINETOBACTER BAUMANNII COMPLEX
ACINETOBACTER BAUMANNII COMPLEX 2ªA,ACINETOBACTER BAUMANNII COMPLEX
ACINETOBACTER BAUMANNII COMPLX,ACINETOBACTER BAUMANNII COMPLEX
ACINETOBACTER BAUMANNII COMPLX 1ªA,ACINETOBACTER BAUMANNII COMPLEX
ACINETOBACTER SPP,ACINETOBACTER SPP
"ACINETOBACTER SPP 1ª,2ª,3ªA",ACINETOBACTER SPP
ANTEROBACTER SPP,ENTEROBACTER SSP
BACILLUS,BACILLUS
BACILLUS 1ªA,BACILLUS
BACILLUS 2ªA,BACILLUS
BURKOLDERIA CEPACIA,BURKOLDERIA CEPACIA
BURKOLDERIA CEPACIA COMPLEX,BURKOLDERIA CEPACIA COMPLEX
CANDIDA,CANDIDA
"CANDIDA 1ª,2ªA",CANDIDA
CANDIDA 1ªA,CANDIDA
CANDIDA 2ª,CANDIDA
"CANDIDA 2ª,3ªA",CANDIDA
CANDIDA 2ªA,CANDIDA
CANDIDA 3ª,CANDIDA
CANDIDA ALBICANS,CANDIDA ALBICANS
CANDIDA GLABRATA,CANDIDA GLABRATA
CANDIDA KRUSEI,CANDIDA KRUSEI
CANDIDA PARAPLOSIS COMPLEX,CANDIDA PARAPSILOSIS COMPLEX
CANDIDA PSILOSIS COMPLEX,CANDIDA PARAPSILOSIS COMPLEX
"CANDIDA PSILOSIS COMPLEX 1ª,2ªA",CANDIDA PARAPSILOSIS COMPLEX
CANDIDA TROPICALIS,CANDIDA TROPICALIS
CANDIDA1ªA,CANDIDA
CINTROBACTER FREUDII COMPL,CITROBACTER FREUNDII COMPLEX
CITROBACTER BAUMANNII COMPLEX,CITROBACTER BAUMANNII COMPLEX
CITROBACTER FREUDII COMPLEX,CITROBACTER FREUNDII COMPLEX
CITROBACTER FREUNDII COMPLEX,CITROBACTER FREUNDII COMPLEX
CITROBACTER FREUNDII COMPLEXO,CITROBACTER FREUNDII COMPLEX
"CITROBACTER KOSERI 1ª,2ªA",CITROBACTER KOSERI
CITROBACTER KOSERI 1ªA,CITROBACTER KOSERI
CITROBACTER SPP,CITROBACTER SPP
CRIPTOCOCCUS,CRIPTOCOCCUS
ENTEROBACTER,ENTEROBACTER
ENTEROBACTER CLACAE COMPLEX,ENTEROBACTER CLOACAE COMPLEX
ENTEROBACTER CLACAE COMPLEX 1ªA,ENTEROBACTER CLOACAE COMPLEX
"ENTEROBACTER CLOACAE COMPL 1ª,2ªA",ENTEROBACTER CLOACAE COMPLEX
ENTEROBACTER CLOACAE COMPLES,ENTEROBACTER CLOACAE COMPLEX
ENTEROBACTER CLOACAE COMPLEX,ENTEROBACTER CLOACAE COMPLEX
ENTEROBACTER CLOACAE COMPLEX AMP C,ENTEROBACTER CLOACAE COMPLEX AMP C
ENTEROBACTER CLOACAE COMPLX,ENTEROBACTER CLOACAE COMPLEX
ENTEROBACTER CLOACAE COMPLX 1ªA,ENTEROBACTER CLOACAE COMPLEX
ENTEROBACTER COACLAE COMPLEX,ENTEROBACTER CLOACAE COMPLEX
ENTEROBACTER SPP,ENTEROBACTER SPP
"ENTEROBACTER SPP 1ª,2ª,3ªA",ENTEROBACTER SPP
"ENTEROBACTER SPP 1ª,2ªA",ENTEROBACTER SPP
ENTEROBACTER SPP 1ºA,ENTEROBACTER SPP
ENTEROBACTER SPP AMP C,ENTEROBACTER SPP AMP C
ENTEROBACTER SSP,ENTEROBACTER SPP
ENTEROCOCCUS,ENTEROCOCCUS
"ENTEROCOCCUS 1ª,2ª,3ªA",ENTEROCOCCUS
"ENTEROCOCCUS 1ª,2ªA",ENTEROCOCCUS
ENTEROCOCCUS 1ªA,ENTEROCOCCUS
ENTEROCOCCUS 2ªA,ENTEROCOCCUS
ENTEROCOCCUS 3ªA,ENTEROCOCCUS
ENTEROCOCCUS FACIUM,ENTEROCOCCUS FAECIUM
ENTEROCOCCUS FAECAL S.,ENTEROCOCCUS FAECALIS
ENTEROCOCCUS FAECALIS,ENTEROCOCCUS FAECALIS
"ENTEROCOCCUS FAECALIS 1ª,2ª,3ªA",ENTEROCOCCUS FAECALIS
"ENTEROCOCCUS FAECALIS 1ª,2ªA",ENTEROCOCCUS FAECALIS
ENTEROCOCCUS FAECALIS 1ªA,ENTEROCOCCUS FAECALIS
ENTEROCOCCUS FAECALIS 2ªA,ENTEROCOCCUS FAECALIS
ENTEROCOCCUS FAECIUM,ENTEROCOCCUS FAECIUM
"ENTEROCOCCUS FAECIUM 1ª,2ª,3ªA",ENTEROCOCCUS FAECIUM
"ENTEROCOCCUS FAECIUM 1ª,2ªA",ENTEROCOCCUS FAECIUM
ENTEROCOCCUS FAECIUM 1ªA,ENTEROCOCCUS FAECIUM
ENTEROCOCCUS SPP,ENTEROCOCCUS SPP
"ENTEROCOCCUS SPP 1ª,2ªA",ENTEROCOCCUS SPP
"ENTEROCOCCUS SPP 2ª,3ªA",ENTEROCOCCUS SPP
ENTEROCOCCUS SPP 2ªA,ENTEROCOCCUS SPP
ENTEROOCCUS,ENTEROCOCCUS
ESCHERICHI A COLI,ESCHERICHIA COLI
ESCHERICHIA COLI,ESCHERICHIA COLI
"ESCHERICHIA COLI 1ª,2ª,3ªA",ESCHERICHIA COLI
"ESCHERICHIA COLI 1ª,2ªA",ESCHERICHIA COLI
"ESCHERICHIA COLI 1ª,3ªA",ESCHERICHIA COLI
ESCHERICHIA COLI 1ªA,ESCHERICHIA COLI
ESCHERICHIA COLI 2ªA,ESCHERICHIA COLI
ESCHERICHIA COLI 2ªA,ESCHERICHIA COLI
ESCHERICHIA COLI ESBL,ESCHERICHIA COLI ESBL
ESCHERICHIS COLI,ESCHERICHIA COLI
KLBESIELLA SPP,KLEBSIELLA SPP
KLBSIELLA PNEUMONIAE,KLEBSIELLA PNEUMONIAE
KLEBISIELLA,KLEBSIELLA
KLEBISIELLA AERUGINOSA,KLEBSIELLA AERUGINOSA
KLEBISIELLA OXYTOCA,KLEBSIELLA OXYTOCA
KLEBSIELA,KLEBSIELLA
KLEBSIELA 2ªA,KLEBSIELLA
KLEBSIELA PNEUMONIAE,KLEBSIELLA PNEUMONIAE
KLEBSIELA SPP,KLEBSIELLA SPP
KLEBSIELLA,KLEBSIELLA
"KLEBSIELLA 1ª,2ª,3ªA",KLEBSIELLA
"KLEBSIELLA 1ª,2ªA",KLEBSIELLA
KLEBSIELLA 1ªA,KLEBSIELLA
KLEBSIELLA 1ªA,KLEBSIELLA
"KLEBSIELLA 2ª,3ªA",KLEBSIELLA
KLEBSIELLA 2ªA,KLEBSIELLA
KLEBSIELLA AERIGENES,KLEBSIELLA AEROGENES
KLEBSIELLA AEROGENES,KLEBSIELLA AEROGENES
"KLEBSIELLA AEROGENES 1ª,2ªA",KLEBSIELLA AEROGENES
KLEBSIELLA AERUGENES,KLEBSIELLA AEROGENES
KLEBSIELLA APP,KLEBSIELLA SPP
KLEBSIELLA OPXYTOCA,KLEBSIELLA OXYTOCA
KLEBSIELLA OXYTOCA,KLEBSIELLA OXYTOCA
KLEBSIELLA OXYTOCA 1ªA,KLEBSIELLA OXYTOCA
KLEBSIELLA PNEUMONIAE,KLEBSIELLA PNEUMONIAE
"KLEBSIELLA PNEUMONIAE 1ª,2ª,3ªA",KLEBSIELLA PNEUMONIAE
"KLEBSIELLA PNEUMONIAE 1ª,2ªA",KLEBSIELLA PNEUMONIAE
"KLEBSIELLA PNEUMONIAE 1ª,3ªA",KLEBSIELLA PNEUMONIAE
KLEBSIELLA PNEUMONIAE 1ªA,KLEBSIELLA PNEUMONIAE
KLEBSIELLA PNEUMONIAE 2ªA,KLEBSIELLA PNEUMONIAE
KLEBSIELLA PSEUDOMONAS,KLEBSIELLA PSEUDOMONAS
KLEBSIELLA PXYTOCA,KLEBSIELLA OXYTOCA
KLEBSIELLA SPP,KLEBSIELLA
KLEBSIELLA SPP,KLEBSIELLA SPP
"KLEBSIELLA SPP 1ª,2ªA",KLEBSIELLA SPP
KLEBSIELLA SPP 1ªA,KLEBSIELLA SPP
KLEBSIELLA SPP 2ªA,KLEBSIELLA SPP
KLEBSIELLA SPP 3ªA,KLEBSIELLA SPP
KLEBSIELLS PNEUMONIEA,KLEBSIELLA PNEUMONIAE
KLESIELLA 3ªA,KLEBSIELLA
KLRBSIELLA,KLEBSIELLA
MICROCOCCUS 1ªA,MICROCOCCUS
MICROCOCCUS 2ªA,MICROCOCCUS
MICROCOCCUS SPP,MICROCOCCUS SPP
MICROORGANISMO/CULTURA,ATUALIZAÇÃO
MORGANELLA MORGANI,MORGANELLA MORGANII
MORGANELLA MORGANII,MORGANELLA MORGANII
MORGANELLA MORGANNII,MORGANELLA MORGANII
PROTEUS,PROTEUS
"PROTEUS 1ª,2ªA",PROTEUS
PROTEUS 1ªA,PROTEUS
PROTEUS MIRABILIS,PROTEUS MIRABILIS
PROTEUS VULGARIS,PROTEUS VULGARIS
PROVIDENCIA SPP,PROVIDENCIA SPP
PROVIDENCIA STATUARTII,PROVIDENCIA STUARTII
PROVIDENCIA STUARTII,PROVIDENCIA STUARTII
PSEDOMONAS AERUGINOSA,PSEDOMONAS AERUGINOSA
PSEUDOMONAS,PSEUDOMONAS
PSEUDOMONAS 1ªA,PSEUDOMONAS
PSEUDOMONAS AERUGINOSA,PSEUDOMONAS AERUGINOSA
PSEUDOMONAS AERUGINOSA 1ª,PSEUDOMONAS AERUGINOSA
PSEUDOMONAS AERUGINOSA 1ª A,PSEUDOMONAS AERUGINOSA
"PSEUDOMONAS AERUGINOSA 1ª,2ª A",PSEUDOMONAS AERUGINOSA
"PSEUDOMONAS AERUGINOSA 1ª,2ª,3ªA",PSEUDOMONAS AERUGINOSA
PSEUDOMONAS AERUGINOSA 1ªA,PSEUDOMONAS AERUGINOSA
"PSEUDOMONAS AERUGINOSA 2ª,3ªA",PSEUDOMONAS AERUGINOSA
PSEUDOMONAS AERUGINOSA 2ªA,PSEUDOMONAS AERUGINOSA
"PSEUDOMONAS AERUGINOSA1ª,2ª,3ªA",PSEUDOMONAS AERUGINOSA
PSEUDOMONAS PUTIDA,PSEUDOMONAS PUTIDA
PSEUDOMONAS SPP,PSEUDOMONAS SPP
ROUTELLA SPP,ROUTELLA SPP
SERRATIA MARCENCES,SERRATIA MARCESCENS
SERRATIA MARCENS,SERRATIA MARCESCENS
SERRATIA MARCENS 1ªA,SERRATIA MARCESCENS
SERRATIA MARCENSCES,SERRATIA MARCESCENS
SERRATIA MARCENSES,SERRATIA MARCESCENS
SERRATIA MARCESCENS,SERRATIA MARCESCENS
SERRATIA MRCENS,SERRATIA MARCESCENS
STAPHYLACOCCUS EPIDERMIDIS 1ªA,STAPHYLACOCCUS EPIDERMIDIS
"STAPHYLOCCUS HOMINIS 1ª,2ªA",STAPHYLOCOCCOS HOMINIS
STAPHYLOCOCCOS HAEMOLYTICUS 1ªA,STAPHYLOCOCCOS HAEMOLYTICUS
STAPHYLOCOCCOS HOMINIS 1ªA,STAPHYLOCOCCOS HOMINIS
STAPHYLOCOCCUS 1ªA,STAPHYLOCOCCUS SPP
STAPHYLOCOCCUS 2ªA,STAPHYLOCOCCUS SPP
STAPHYLOCOCCUS AGALACTIAE,STAPHYLOCOCCUS AGALACTIAE
STAPHYLOCOCCUS AUREUS,STAPHYLOCOCCUS AUREUS
"STAPHYLOCOCCUS AUREUS 1ª,2ª,3ªA",STAPHYLOCOCCUS AUREUS
"STAPHYLOCOCCUS AUREUS 1ª,2ªA",STAPHYLOCOCCUS AUREUS
STAPHYLOCOCCUS AUREUS 1ªA,STAPHYLOCOCCUS AUREUS
"STAPHYLOCOCCUS AUREUS 2ª,3ªA",STAPHYLOCOCCUS AUREUS
STAPHYLOCOCCUS AUREUS 2ªA,STAPHYLOCOCCUS AUREUS
STAPHYLOCOCCUS AUREUS 2ªA,STAPHYLOCOCCUS AUREUS
"STAPHYLOCOCCUS AUREUS MRSA1 ª,2ªA",STAPHYLOCOCCUS AUREUS MRSA
STAPHYLOCOCCUS AUREUS1 ªA,STAPHYLOCOCCUS AUREUS
STAPHYLOCOCCUS CAG NEG 2ªA,STAPHYLOCOCCUS COAG NEG
STAPHYLOCOCCUS CAPITIS,STAPHYLOCOCCUS CAPITIS
"STAPHYLOCOCCUS CAPITIS 1ª,2ªA",STAPHYLOCOCCUS CAPITIS
STAPHYLOCOCCUS CAPITIS 1ªA,STAPHYLOCOCCUS CAPITIS
"STAPHYLOCOCCUS CAPITIS 2ª,3ªA",STAPHYLOCOCCUS CAPITIS
STAPHYLOCOCCUS CAPITIS 2ªA,STAPHYLOCOCCUS CAPITIS
STAPHYLOCOCCUS CAPRAE,STAPHYLOCOCCUS CAPRAE
"STAPHYLOCOCCUS CAPRAE 1ª,2ª,3ªA",STAPHYLOCOCCUS CAPRAE
"STAPHYLOCOCCUS CAPRAE 1ª,2ªA",STAPHYLOCOCCUS CAPRAE
STAPHYLOCOCCUS CAPRAE 1ªA,STAPHYLOCOCCUS CAPRAE
STAPHYLOCOCCUS CAPRAE 2ªA,STAPHYLOCOCCUS CAPRAE
STAPHYLOCOCCUS COAG 2ªA,STAPHYLOCOCCUS COAG NEG
